Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1991,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1990,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1989,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1988,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1987,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1986,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1985,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1984,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1983,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1982,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1981,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1980,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1979,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1978,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1976,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1975,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1974,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1973,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1971,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1970,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1969,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1968,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1967,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1966,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1965,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1964,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1963,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1961,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2022,Land area (sq. km),AG.LND.TOTL.K2,61860
Sri Lanka,LKA,2021,Land area (sq. km),AG.LND.TOTL.K2,61860
Sri Lanka,LKA,2020,Land area (sq. km),AG.LND.TOTL.K2,61860
Sri Lanka,LKA,2019,Land area (sq. km),AG.LND.TOTL.K2,61864.47
Sri Lanka,LKA,2018,Land area (sq. km),AG.LND.TOTL.K2,61864
Sri Lanka,LKA,2017,Land area (sq. km),AG.LND.TOTL.K2,61893
Sri Lanka,LKA,2016,Land area (sq. km),AG.LND.TOTL.K2,61893
